kabkota_code,kabkota_name,week_start_date,t_mean,t_min,t_max,hu_mean,ws_mean,tcc_mean,rain_hours,rain_frac,hours
18.05,KAB. TULANG BAWANG,2025-01-20,27.2,25.56,28.95,79.55,8.33,57.39,49,0.2917,168
18.05,KAB. TULANG BAWANG,2025-01-27,27.3,25.65,29.0,77.62,8.46,48.14,27,0.1607,168
18.05,KAB. TULANG BAWANG,2025-02-03,28.03,26.41,29.71,80.43,10.01,54.92,44,0.2619,168
18.05,KAB. TULANG BAWANG,2025-02-10,28.37,26.63,30.15,83.19,9.07,57.18,40,0.2381,168
18.05,KAB. TULANG BAWANG,2025-02-17,27.73,25.99,29.25,83.43,9.64,57.82,68,0.4048,168
18.05,KAB. TULANG BAWANG,2025-02-24,28.36,26.76,30.08,82.59,9.87,62.68,70,0.4167,168
18.05,KAB. TULANG BAWANG,2025-03-03,28.48,26.78,30.06,82.41,9.48,74.82,76,0.4524,168
18.05,KAB. TULANG BAWANG,2025-03-10,28.27,26.58,30.03,83.73,12.15,65.78,83,0.494,168
18.05,KAB. TULANG BAWANG,2025-03-17,29.19,27.46,30.79,85.35,11.33,75.83,78,0.4643,168
18.05,KAB. TULANG BAWANG,2025-03-24,28.52,26.88,30.2,84.65,10.64,70.01,81,0.4821,168
18.05,KAB. TULANG BAWANG,2025-03-31,28.28,26.61,29.82,82.61,10.59,71.21,90,0.5357,168
18.05,KAB. TULANG BAWANG,2025-04-07,28.68,27.16,30.48,84.7,11.02,71.94,96,0.5714,168
18.05,KAB. TULANG BAWANG,2025-04-14,29.03,27.24,30.78,85.95,13.49,73.69,97,0.5774,168
18.05,KAB. TULANG BAWANG,2025-04-21,29.24,27.5,30.91,90.41,11.12,83.04,101,0.6012,168
18.05,KAB. TULANG BAWANG,2025-04-28,29.3,27.55,31.08,87.03,12.26,66.54,113,0.6726,168
18.05,KAB. TULANG BAWANG,2025-05-05,27.93,26.36,29.67,87.91,12.02,73.58,89,0.5298,168
18.05,KAB. TULANG BAWANG,2025-05-12,29.85,28.24,31.52,82.71,12.55,78.53,95,0.5655,168
18.05,KAB. TULANG BAWANG,2025-05-19,28.44,26.91,30.18,86.05,10.59,68.46,94,0.5595,168
18.05,KAB. TULANG BAWANG,2025-05-26,28.27,26.6,30.06,86.8,12.14,78.77,95,0.5655,168
18.05,KAB. TULANG BAWANG,2025-06-02,29.23,27.68,30.77,89.14,12.44,68.49,106,0.631,168
18.05,KAB. TULANG BAWANG,2025-06-09,29.13,27.55,30.75,89.87,13.21,71.79,99,0.5893,168
18.05,KAB. TULANG BAWANG,2025-06-16,29.82,28.11,31.43,88.24,14.4,76.4,97,0.5774,168
18.05,KAB. TULANG BAWANG,2025-06-23,29.37,27.7,30.89,87.95,12.25,69.17,98,0.5833,168
18.05,KAB. TULANG BAWANG,2025-06-30,28.43,26.86,29.96,87.16,12.35,73.59,97,0.5774,168
18.05,KAB. TULANG BAWANG,2025-07-07,28.86,27.31,30.45,87.25,12.48,70.63,89,0.5298,168
18.05,KAB. TULANG BAWANG,2025-07-14,29.1,27.31,30.62,85.45,12.08,71.86,86,0.5119,168
18.05,KAB. TULANG BAWANG,2025-07-21,28.82,27.24,30.6,88.44,11.7,65.39,93,0.5536,168
18.05,KAB. TULANG BAWANG,2025-07-28,28.93,27.26,30.72,85.24,11.91,63.29,72,0.4286,168
18.05,KAB. TULANG BAWANG,2025-08-04,29.3,27.74,30.81,83.56,10.39,66.51,72,0.4286,168
18.05,KAB. TULANG BAWANG,2025-08-11,28.17,26.48,29.85,86.14,9.75,65.35,75,0.4464,168
18.06,KAB. TANGGAMUS,2024-08-19,28.66,26.93,30.26,87.65,11.65,76.84,76,0.4524,168
18.06,KAB. TANGGAMUS,2024-08-26,29.11,27.34,30.69,86.58,9.66,70.61,86,0.5119,168
18.06,KAB. TANGGAMUS,2024-09-02,28.43,26.77,30.0,86.48,10.88,73.73,82,0.4881,168
18.06,KAB. TANGGAMUS,2024-09-09,28.51,27.0,30.16,84.24,10.8,68.48,68,0.4048,168
18.06,KAB. TANGGAMUS,2024-09-16,28.68,26.95,30.26,82.6,10.17,62.71,68,0.4048,168
18.06,KAB. TANGGAMUS,2024-09-23,29.44,27.7,31.07,86.25,10.37,60.21,81,0.4821,168
18.06,KAB. TANGGAMUS,2024-09-30,28.52,26.84,30.15,84.8,8.61,57.95,82,0.4881,168
18.06,KAB. TANGGAMUS,2024-10-07,28.25,26.62,29.85,85.77,8.18,55.02,63,0.375,168
18.06,KAB. TANGGAMUS,2024-10-14,28.66,26.91,30.17,84.02,8.92,53.62,61,0.3631,168
18.06,KAB. TANGGAMUS,2024-10-21,27.54,25.97,29.2,81.99,8.4,58.19,51,0.3036,168
18.06,KAB. TANGGAMUS,2024-10-28,28.4,26.9,30.18,79.02,8.68,56.78,59,0.3512,168
18.06,KAB. TANGGAMUS,2024-11-04,27.24,25.73,28.9,79.21,6.25,54.47,44,0.2619,168
18.06,KAB. TANGGAMUS,2024-11-11,28.1,26.4,29.64,78.28,6.58,55.34,36,0.2143,168
18.06,KAB. TANGGAMUS,2024-11-18,27.71,25.95,29.25,73.74,8.9,38.82,29,0.1726,168
18.06,KAB. TANGGAMUS,2024-11-25,27.85,26.27,29.41,79.56,7.52,38.16,32,0.1905,168
18.06,KAB. TANGGAMUS,2024-12-02,27.66,26.1,29.39,77.46,7.54,43.13,22,0.131,168
18.06,KAB. TANGGAMUS,2024-12-09,27.1,25.53,28.62,77.06,7.07,44.88,24,0.1429,168
18.06,KAB. TANGGAMUS,2024-12-16,26.6,25.0,28.31,74.93,6.51,44.19,0,0.0,168
18.06,KAB. TANGGAMUS,2024-12-23,25.88,24.25,27.66,75.93,8.18,47.2,27,0.1607,168
18.06,KAB. TANGGAMUS,2024-12-30,26.6,24.96,28.32,76.58,5.81,38.2,19,0.1131,168
18.06,KAB. TANGGAMUS,2025-01-06,28.38,26.75,30.16,78.15,7.71,38.07,3,0.0179,168
18.06,KAB. TANGGAMUS,2025-01-13,26.98,25.24,28.54,78.64,8.2,43.59,8,0.0476,168
18.06,KAB. TANGGAMUS,2025-01-20,27.21,25.57,28.98,78.04,5.98,44.17,21,0.125,168
18.06,KAB. TANGGAMUS,2025-01-27,27.49,25.89,29.04,74.91,6.96,45.94,14,0.0833,168
18.06,KAB. TANGGAMUS,2025-02-03,26.45,24.94,28.03,73.7,8.34,50.07,7,0.0417,168
18.06,KAB. TANGGAMUS,2025-02-10,28.18,26.59,29.9,78.41,7.63,52.02,33,0.1964,168
18.06,KAB. TANGGAMUS,2025-02-17,26.92,25.14,28.62,79.63,9.86,50.35,18,0.1071,168
18.06,KAB. TANGGAMUS,2025-02-24,26.42,24.74,28.08,78.98,6.91,50.79,28,0.1667,168
18.06,KAB. TANGGAMUS,2025-03-03,27.26,25.53,28.9,76.93,8.83,47.49,26,0.1548,168
18.06,KAB. TANGGAMUS,2025-03-10,27.98,26.41,29.61,81.07,9.93,51.0,39,0.2321,168
18.06,KAB. TANGGAMUS,2025-03-17,27.11,25.39,28.69,78.39,9.02,57.65,59,0.3512,168
18.06,KAB. TANGGAMUS,2025-03-24,27.21,25.69,28.99,81.12,10.74,56.48,48,0.2857,168
18.06,KAB. TANGGAMUS,2025-03-31,27.91,26.3,29.49,80.45,10.84,62.03,65,0.3869,168
18.06,KAB. TANGGAMUS,2025-04-07,28.71,27.08,30.42,81.8,12.38,61.3,53,0.3155,168
18.06,KAB. TANGGAMUS,2025-04-14,28.47,26.8,30.11,84.62,10.8,61.17,50,0.2976,168
18.06,KAB. TANGGAMUS,2025-04-21,27.61,26.08,29.39,82.88,10.06,66.56,72,0.4286,168
18.06,KAB. TANGGAMUS,2025-04-28,28.03,26.51,29.77,86.09,11.74,60.24,65,0.3869,168
18.06,KAB. TANGGAMUS,2025-05-05,28.92,27.32,30.55,83.43,12.05,58.61,83,0.494,168
18.06,KAB. TANGGAMUS,2025-05-12,27.97,26.38,29.55,82.92,14.11,74.74,75,0.4464,168
18.06,KAB. TANGGAMUS,2025-05-19,29.22,27.67,30.93,86.4,13.85,69.07,84,0.5,168
18.06,KAB. TANGGAMUS,2025-05-26,29.51,27.98,31.12,85.2,13.37,68.05,86,0.5119,168
18.06,KAB. TANGGAMUS,2025-06-02,29.03,27.5,30.81,83.74,12.2,72.58,73,0.4345,168
18.06,KAB. TANGGAMUS,2025-06-09,29.65,28.05,31.35,86.5,11.28,76.11,92,0.5476,168
18.06,KAB. TANGGAMUS,2025-06-16,28.98,27.22,30.67,86.64,13.71,78.02,102,0.6071,168
18.06,KAB. TANGGAMUS,2025-06-23,29.64,27.99,31.23,84.66,12.15,61.2,92,0.5476,168
18.06,KAB. TANGGAMUS,2025-06-30,29.09,27.33,30.6,88.54,12.79,79.38,94,0.5595,168
18.06,KAB. TANGGAMUS,2025-07-07,28.88,27.1,30.59,87.31,12.22,71.16,108,0.6429,168
18.06,KAB. TANGGAMUS,2025-07-14,29.23,27.47,30.91,87.34,11.41,84.09,105,0.625,168
18.06,KAB. TANGGAMUS,2025-07-21,29.97,28.21,31.77,83.92,12.59,82.27,82,0.4881,168
18.06,KAB. TANGGAMUS,2025-07-28,28.9,27.1,30.41,85.49,11.91,72.76,100,0.5952,168
18.06,KAB. TANGGAMUS,2025-08-04,29.57,28.03,31.23,87.64,10.96,77.88,97,0.5774,168
18.06,KAB. TANGGAMUS,2025-08-11,28.33,26.58,29.86,88.76,10.34,67.57,91,0.5417,168
18.07,KAB. LAMPUNG TIMUR,2024-08-19,28.74,26.99,30.45,88.63,13.34,70.42,77,0.4583,168
18.07,KAB. LAMPUNG TIMUR,2024-08-26,29.21,27.46,30.9,86.14,10.32,64.19,73,0.4345,168
18.07,KAB. LAMPUNG TIMUR,2024-09-02,28.04,26.51,29.68,86.24,9.7,65.17,65,0.3869,168
18.07,KAB. LAMPUNG TIMUR,2024-09-09,27.95,26.16,29.62,85.08,9.94,62.42,65,0.3869,168
18.07,KAB. LAMPUNG TIMUR,2024-09-16,27.29,25.7,29.01,83.27,9.67,70.47,77,0.4583,168
18.07,KAB. LAMPUNG TIMUR,2024-09-23,28.48,26.83,30.16,81.43,8.7,64.65,71,0.4226,168
18.07,KAB. LAMPUNG TIMUR,2024-09-30,27.64,26.08,29.17,83.19,8.6,57.9,60,0.3571,168
18.07,KAB. LAMPUNG TIMUR,2024-10-07,27.63,25.94,29.24,82.39,9.61,54.5,56,0.3333,168
18.07,KAB. LAMPUNG TIMUR,2024-10-14,28.48,26.95,30.18,81.38,8.37,56.17,53,0.3155,168
18.07,KAB. LAMPUNG TIMUR,2024-10-21,27.32,25.65,28.85,79.22,9.98,57.16,29,0.1726,168
18.07,KAB. LAMPUNG TIMUR,2024-10-28,27.55,25.87,29.31,79.25,8.35,53.03,34,0.2024,168
18.07,KAB. LAMPUNG TIMUR,2024-11-04,26.69,25.04,28.36,79.46,7.67,44.06,48,0.2857,168
18.07,KAB. LAMPUNG TIMUR,2024-11-11,27.35,25.64,28.91,76.86,7.11,43.01,30,0.1786,168
18.07,KAB. LAMPUNG TIMUR,2024-11-18,26.7,25.16,28.36,80.85,7.38,44.49,35,0.2083,168
18.07,KAB. LAMPUNG TIMUR,2024-11-25,26.96,25.43,28.68,78.81,5.11,50.2,37,0.2202,168
18.07,KAB. LAMPUNG TIMUR,2024-12-02,26.24,24.45,27.86,80.64,7.29,53.77,27,0.1607,168
18.07,KAB. LAMPUNG TIMUR,2024-12-09,26.73,25.1,28.25,77.23,6.95,49.79,13,0.0774,168
18.07,KAB. LAMPUNG TIMUR,2024-12-16,26.43,24.74,28.12,77.46,6.49,43.33,18,0.1071,168
18.07,KAB. LAMPUNG TIMUR,2024-12-23,27.29,25.75,28.9,78.78,6.31,42.38,19,0.1131,168
18.07,KAB. LAMPUNG TIMUR,2024-12-30,27.86,26.2,29.37,78.62,6.68,46.65,9,0.0536,168
18.07,KAB. LAMPUNG TIMUR,2025-01-06,26.92,25.37,28.44,76.99,7.42,48.05,12,0.0714,168
18.07,KAB. LAMPUNG TIMUR,2025-01-13,26.85,25.32,28.59,76.98,7.51,43.93,29,0.1726,168
18.07,KAB. LAMPUNG TIMUR,2025-01-20,26.54,24.75,28.24,76.31,9.53,47.8,23,0.1369,168
18.07,KAB. LAMPUNG TIMUR,2025-01-27,26.92,25.19,28.5,77.28,7.84,55.56,14,0.0833,168
18.07,KAB. LAMPUNG TIMUR,2025-02-03,27.18,25.61,28.86,77.1,8.97,44.22,28,0.1667,168
18.07,KAB. LAMPUNG TIMUR,2025-02-10,27.13,25.61,28.91,79.27,6.69,44.73,43,0.256,168
18.07,KAB. LAMPUNG TIMUR,2025-02-17,28.67,26.99,30.41,78.2,9.34,53.5,26,0.1548,168
18.07,KAB. LAMPUNG TIMUR,2025-02-24,27.12,25.35,28.88,77.02,8.34,51.15,52,0.3095,168
18.07,KAB. LAMPUNG TIMUR,2025-03-03,27.18,25.4,28.95,82.21,10.1,52.61,47,0.2798,168
18.07,KAB. LAMPUNG TIMUR,2025-03-10,27.64,26.06,29.2,84.18,12.39,56.11,58,0.3452,168
18.07,KAB. LAMPUNG TIMUR,2025-03-17,27.82,26.1,29.56,80.15,11.25,59.59,41,0.244,168
18.07,KAB. LAMPUNG TIMUR,2025-03-24,28.1,26.37,29.76,83.39,11.76,55.53,48,0.2857,168
18.07,KAB. LAMPUNG TIMUR,2025-03-31,27.69,25.96,29.36,83.32,12.7,64.68,61,0.3631,168
18.07,KAB. LAMPUNG TIMUR,2025-04-07,27.62,25.87,29.21,85.4,12.3,67.64,69,0.4107,168
18.07,KAB. LAMPUNG TIMUR,2025-04-14,28.33,26.69,29.94,84.09,10.98,64.43,76,0.4524,168
18.07,KAB. LAMPUNG TIMUR,2025-04-21,28.63,26.83,30.21,85.93,11.19,68.94,80,0.4762,168
18.07,KAB. LAMPUNG TIMUR,2025-04-28,28.94,27.16,30.74,83.95,12.2,67.04,91,0.5417,168
18.07,KAB. LAMPUNG TIMUR,2025-05-05,28.8,27.25,30.36,82.42,11.3,67.43,93,0.5536,168
18.07,KAB. LAMPUNG TIMUR,2025-05-12,29.33,27.82,30.86,88.41,11.94,76.81,97,0.5774,168
18.07,KAB. LAMPUNG TIMUR,2025-05-19,29.43,27.89,31.13,85.11,12.43,67.23,88,0.5238,168
18.07,KAB. LAMPUNG TIMUR,2025-05-26,29.0,27.24,30.75,81.99,13.58,74.27,108,0.6429,168
18.07,KAB. LAMPUNG TIMUR,2025-06-02,28.21,26.54,30.01,85.31,10.75,65.24,86,0.5119,168
18.07,KAB. LAMPUNG TIMUR,2025-06-09,29.1,27.48,30.63,87.51,13.12,82.08,95,0.5655,168
18.07,KAB. LAMPUNG TIMUR,2025-06-16,29.47,27.89,31.23,87.0,11.96,63.29,95,0.5655,168
18.07,KAB. LAMPUNG TIMUR,2025-06-23,28.41,26.87,30.19,89.11,13.13,66.4,98,0.5833,168
18.07,KAB. LAMPUNG TIMUR,2025-06-30,29.48,27.9,31.11,82.86,12.36,76.45,95,0.5655,168
18.07,KAB. LAMPUNG TIMUR,2025-07-07,30.07,28.35,31.82,83.81,11.08,77.8,104,0.619,168
18.07,KAB. LAMPUNG TIMUR,2025-07-14,29.6,27.86,31.27,84.57,10.58,71.46,108,0.6429,168
18.07,KAB. LAMPUNG TIMUR,2025-07-21,28.85,27.24,30.44,84.67,12.28,63.46,89,0.5298,168
18.07,KAB. LAMPUNG TIMUR,2025-07-28,29.19,27.42,30.87,86.55,11.79,69.43,87,0.5179,168
18.07,KAB. LAMPUNG TIMUR,2025-08-04,28.89,27.32,30.68,84.15,11.57,74.06,84,0.5,168
18.07,KAB. LAMPUNG TIMUR,2025-08-11,28.05,26.5,29.67,87.45,9.73,64.71,91,0.5417,168
18.08,KAB. WAY KANAN,2024-08-19,27.98,26.41,29.69,81.22,6.96,61.54,68,0.4048,168
18.08,KAB. WAY KANAN,2024-08-26,26.42,24.69,28.08,83.65,4.47,64.02,65,0.3869,168
18.08,KAB. WAY KANAN,2024-09-02,28.76,27.09,30.46,81.27,6.45,58.8,80,0.4762,168
18.08,KAB. WAY KANAN,2024-09-09,28.08,26.48,29.69,85.71,6.32,59.17,68,0.4048,168
18.08,KAB. WAY KANAN,2024-09-16,28.32,26.69,29.94,82.36,7.49,74.04,78,0.4643,168
18.08,KAB. WAY KANAN,2024-09-23,28.29,26.56,29.86,85.14,6.24,68.38,98,0.5833,168
18.08,KAB. WAY KANAN,2024-09-30,29.79,28.29,31.44,86.56,9.23,69.92,94,0.5595,168
18.08,KAB. WAY KANAN,2024-10-07,28.48,26.85,30.07,86.09,10.03,67.46,80,0.4762,168
18.08,KAB. WAY KANAN,2024-10-14,29.21,27.63,30.71,89.06,6.72,67.77,87,0.5179,168
18.08,KAB. WAY KANAN,2024-10-21,28.9,27.17,30.54,89.33,9.76,70.67,86,0.5119,168
18.08,KAB. WAY KANAN,2024-10-28,29.49,27.9,31.07,86.99,8.5,60.18,88,0.5238,168
18.08,KAB. WAY KANAN,2024-11-04,29.2,27.6,30.9,82.57,10.48,75.05,105,0.625,168
18.08,KAB. WAY KANAN,2024-11-11,28.34,26.84,29.94,86.49,8.34,68.66,103,0.6131,168
18.08,KAB. WAY KANAN,2024-11-18,28.91,27.35,30.46,87.54,9.68,77.98,89,0.5298,168
18.08,KAB. WAY KANAN,2024-11-25,29.53,28.02,31.17,82.18,10.91,70.67,106,0.631,168
18.08,KAB. WAY KANAN,2024-12-02,29.12,27.32,30.66,87.99,11.53,67.56,93,0.5536,168
18.08,KAB. WAY KANAN,2024-12-09,28.4,26.62,30.18,87.88,12.18,78.79,102,0.6071,168
18.08,KAB. WAY KANAN,2024-12-16,29.17,27.65,30.73,87.74,8.73,65.32,84,0.5,168
18.08,KAB. WAY KANAN,2024-12-23,28.98,27.28,30.69,85.73,11.79,66.32,85,0.506,168
18.08,KAB. WAY KANAN,2024-12-30,30.06,28.29,31.6,82.99,12.45,74.21,94,0.5595,168
18.08,KAB. WAY KANAN,2025-01-06,28.64,27.05,30.29,83.36,12.33,74.29,99,0.5893,168
18.08,KAB. WAY KANAN,2025-01-13,28.4,26.79,30.18,85.88,13.78,67.73,78,0.4643,168
18.08,KAB. WAY KANAN,2025-01-20,29.37,27.87,30.89,85.58,12.66,63.28,88,0.5238,168
18.08,KAB. WAY KANAN,2025-01-27,29.0,27.37,30.7,84.84,14.35,57.57,72,0.4286,168
18.08,KAB. WAY KANAN,2025-02-03,29.63,27.86,31.13,81.61,14.39,59.08,60,0.3571,168
18.08,KAB. WAY KANAN,2025-02-10,27.94,26.42,29.68,82.78,13.08,62.89,39,0.2321,168
18.08,KAB. WAY KANAN,2025-02-17,27.91,26.27,29.58,82.18,12.58,61.01,70,0.4167,168
18.08,KAB. WAY KANAN,2025-02-24,27.7,26.02,29.34,82.18,12.68,62.68,48,0.2857,168
18.08,KAB. WAY KANAN,2025-03-03,28.05,26.44,29.81,79.52,11.34,57.53,57,0.3393,168
18.08,KAB. WAY KANAN,2025-03-10,27.88,26.32,29.66,79.39,14.58,48.65,47,0.2798,168
18.08,KAB. WAY KANAN,2025-03-17,27.64,26.03,29.15,77.17,13.05,57.63,51,0.3036,168
18.08,KAB. WAY KANAN,2025-03-24,27.5,25.81,29.2,77.33,12.42,47.21,18,0.1071,168
18.08,KAB. WAY KANAN,2025-03-31,26.98,25.26,28.66,77.49,13.03,47.55,35,0.2083,168
18.08,KAB. WAY KANAN,2025-04-07,27.32,25.81,28.9,77.86,10.46,56.8,45,0.2679,168
18.08,KAB. WAY KANAN,2025-04-14,26.82,25.32,28.4,80.14,12.19,47.58,42,0.25,168
18.08,KAB. WAY KANAN,2025-04-21,27.18,25.62,28.75,81.64,10.72,42.63,13,0.0774,168
18.08,KAB. WAY KANAN,2025-04-28,27.45,25.85,29.1,79.2,10.33,45.7,17,0.1012,168
18.08,KAB. WAY KANAN,2025-05-05,27.08,25.39,28.69,79.21,12.18,56.22,0,0.0,168
18.08,KAB. WAY KANAN,2025-05-12,26.95,25.22,28.53,77.39,10.33,51.64,28,0.1667,168
18.08,KAB. WAY KANAN,2025-05-19,26.2,24.55,27.89,73.82,10.09,44.52,16,0.0952,168
18.08,KAB. WAY KANAN,2025-05-26,26.48,24.84,28.07,76.5,11.89,52.83,19,0.1131,168
18.08,KAB. WAY KANAN,2025-06-02,26.64,24.9,28.25,73.12,9.24,45.07,19,0.1131,168
18.08,KAB. WAY KANAN,2025-06-09,27.97,26.26,29.58,75.78,7.56,50.95,7,0.0417,168
18.08,KAB. WAY KANAN,2025-06-16,26.04,24.48,27.76,77.08,10.09,50.64,45,0.2679,168
18.08,KAB. WAY KANAN,2025-06-23,26.55,24.78,28.34,74.97,8.53,44.48,41,0.244,168
18.08,KAB. WAY KANAN,2025-06-30,27.65,25.92,29.33,74.74,8.47,44.33,36,0.2143,168
18.08,KAB. WAY KANAN,2025-07-07,27.47,25.87,29.13,80.41,7.52,47.7,24,0.1429,168
18.08,KAB. WAY KANAN,2025-07-14,27.8,26.19,29.45,80.08,6.94,49.99,39,0.2321,168
18.08,KAB. WAY KANAN,2025-07-21,27.14,25.44,28.83,83.94,8.3,53.11,54,0.3214,168
18.08,KAB. WAY KANAN,2025-07-28,26.9,25.11,28.5,79.42,5.37,58.55,43,0.256,168
18.08,KAB. WAY KANAN,2025-08-04,27.83,26.1,29.48,78.79,7.39,55.31,47,0.2798,168
18.08,KAB. WAY KANAN,2025-08-11,27.72,26.08,29.45,82.64,6.94,63.83,49,0.2917,168
18.09,KAB. PESAWARAN,2024-08-19,27.04,25.5,28.7,72.77,6.4,44.8,22,0.131,168
18.09,KAB. PESAWARAN,2024-08-26,26.1,24.56,27.72,75.39,8.78,38.76,24,0.1429,168
18.09,KAB. PESAWARAN,2024-09-02,26.27,24.56,27.81,75.88,8.92,47.82,9,0.0536,168
18.09,KAB. PESAWARAN,2024-09-09,27.37,25.85,29.04,75.08,6.3,56.36,16,0.0952,168
18.09,KAB. PESAWARAN,2024-09-16,25.79,24.21,27.5,75.56,7.07,46.68,28,0.1667,168
18.09,KAB. PESAWARAN,2024-09-23,26.38,24.67,28.14,77.04,8.26,47.24,13,0.0774,168
18.09,KAB. PESAWARAN,2024-09-30,26.2,24.63,27.8,78.74,7.51,48.38,32,0.1905,168
18.09,KAB. PESAWARAN,2024-10-07,27.02,25.49,28.66,75.16,4.72,47.15,10,0.0595,168
18.09,KAB. PESAWARAN,2024-10-14,26.89,25.37,28.58,82.71,7.43,45.03,28,0.1667,168
18.09,KAB. PESAWARAN,2024-10-21,27.39,25.63,29.18,81.4,8.15,47.92,33,0.1964,168
18.09,KAB. PESAWARAN,2024-10-28,27.55,26.03,29.34,82.77,7.79,55.53,50,0.2976,168
18.09,KAB. PESAWARAN,2024-11-04,27.66,26.07,29.31,78.13,7.62,60.17,57,0.3393,168
18.09,KAB. PESAWARAN,2024-11-11,26.99,25.22,28.73,82.65,8.91,55.81,56,0.3333,168
18.09,KAB. PESAWARAN,2024-11-18,27.96,26.16,29.51,79.39,8.06,53.71,51,0.3036,168
18.09,KAB. PESAWARAN,2024-11-25,27.42,25.72,29.13,83.41,6.89,58.42,67,0.3988,168
18.09,KAB. PESAWARAN,2024-12-02,27.51,25.92,29.24,81.68,8.92,61.26,60,0.3571,168
18.09,KAB. PESAWARAN,2024-12-09,28.41,26.74,30.17,83.57,8.55,68.21,67,0.3988,168
18.09,KAB. PESAWARAN,2024-12-16,28.74,27.15,30.29,83.5,9.41,74.62,70,0.4167,168
18.09,KAB. PESAWARAN,2024-12-23,28.87,27.28,30.64,85.12,9.71,69.36,72,0.4286,168
18.09,KAB. PESAWARAN,2024-12-30,28.17,26.63,29.74,80.94,8.24,69.31,77,0.4583,168
18.09,KAB. PESAWARAN,2025-01-06,28.21,26.45,29.98,83.32,9.28,76.78,83,0.494,168
18.09,KAB. PESAWARAN,2025-01-13,28.76,27.02,30.26,85.95,10.75,77.28,81,0.4821,168
18.09,KAB. PESAWARAN,2025-01-20,29.05,27.51,30.79,89.65,9.79,64.13,103,0.6131,168
18.09,KAB. PESAWARAN,2025-01-27,29.19,27.6,30.7,88.08,10.77,74.38,80,0.4762,168
18.09,KAB. PESAWARAN,2025-02-03,28.95,27.24,30.59,85.78,9.97,71.42,98,0.5833,168
18.09,KAB. PESAWARAN,2025-02-10,28.76,27.11,30.53,86.97,11.38,80.22,85,0.506,168
18.09,KAB. PESAWARAN,2025-02-17,29.05,27.39,30.65,87.28,11.46,77.25,98,0.5833,168
18.09,KAB. PESAWARAN,2025-02-24,29.45,27.83,31.12,87.72,12.12,81.48,106,0.631,168
18.09,KAB. PESAWARAN,2025-03-03,30.3,28.56,31.97,85.51,13.47,73.74,92,0.5476,168
18.09,KAB. PESAWARAN,2025-03-10,29.16,27.52,30.85,87.0,13.21,67.63,91,0.5417,168
18.09,KAB. PESAWARAN,2025-03-17,29.48,27.96,31.2,87.02,13.8,82.72,96,0.5714,168
18.09,KAB. PESAWARAN,2025-03-24,29.43,27.85,31.09,87.49,13.4,73.24,91,0.5417,168
18.09,KAB. PESAWARAN,2025-03-31,28.77,27.08,30.52,86.3,12.39,78.78,89,0.5298,168
18.09,KAB. PESAWARAN,2025-04-07,28.96,27.4,30.58,87.43,12.42,69.46,98,0.5833,168
18.09,KAB. PESAWARAN,2025-04-14,29.0,27.24,30.67,81.29,12.1,77.14,87,0.5179,168
18.09,KAB. PESAWARAN,2025-04-21,27.69,26.12,29.35,85.05,14.85,77.51,81,0.4821,168
18.09,KAB. PESAWARAN,2025-04-28,28.32,26.63,30.08,88.39,11.54,60.1,91,0.5417,168
18.09,KAB. PESAWARAN,2025-05-05,28.32,26.7,29.84,85.19,11.83,60.5,78,0.4643,168
18.09,KAB. PESAWARAN,2025-05-12,28.46,26.79,30.25,86.34,13.78,56.44,66,0.3929,168
18.09,KAB. PESAWARAN,2025-05-19,28.36,26.83,29.95,83.18,13.47,58.46,69,0.4107,168
18.09,KAB. PESAWARAN,2025-05-26,28.81,27.06,30.35,80.18,12.24,56.45,64,0.381,168
18.09,KAB. PESAWARAN,2025-06-02,26.58,24.99,28.26,81.48,12.65,55.21,77,0.4583,168
18.09,KAB. PESAWARAN,2025-06-09,27.78,26.08,29.36,84.32,11.14,57.15,48,0.2857,168
18.09,KAB. PESAWARAN,2025-06-16,27.68,26.06,29.38,77.86,10.74,53.49,39,0.2321,168
18.09,KAB. PESAWARAN,2025-06-23,27.78,26.05,29.29,76.41,10.77,57.96,31,0.1845,168
18.09,KAB. PESAWARAN,2025-06-30,27.97,26.31,29.47,76.23,10.56,56.05,24,0.1429,168
18.09,KAB. PESAWARAN,2025-07-07,26.68,25.13,28.34,74.7,9.88,51.01,35,0.2083,168
18.09,KAB. PESAWARAN,2025-07-14,26.79,25.2,28.31,76.79,8.44,51.08,24,0.1429,168
18.09,KAB. PESAWARAN,2025-07-21,26.28,24.71,27.81,75.71,9.25,43.02,39,0.2321,168
18.09,KAB. PESAWARAN,2025-07-28,27.12,25.37,28.68,79.22,8.89,46.44,4,0.0238,168
18.09,KAB. PESAWARAN,2025-08-04,26.71,24.99,28.42,75.13,8.72,44.49,17,0.1012,168
18.09,KAB. PESAWARAN,2025-08-11,27.25,25.57,28.94,75.07,8.09,47.48,12,0.0714,168
18.1,KAB. PRINGSEWU,2024-08-19,28.7,27.13,30.49,90.67,13.01,73.18,101,0.6012,168
18.1,KAB. PRINGSEWU,2024-08-26,29.91,28.27,31.44,87.22,11.46,79.73,111,0.6607,168
18.1,KAB. PRINGSEWU,2024-09-02,29.07,27.28,30.72,85.3,12.19,74.21,110,0.6548,168
18.1,KAB. PRINGSEWU,2024-09-09,29.03,27.51,30.83,85.85,9.8,79.36,95,0.5655,168
